id,event_id,link,title,date,state,deaths,potential_death,false_alarm,description,deaths_binary,break,filename
10,18,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/sanantonio_baby_911.mp3,Baby not breathing,2/07,Texas,0.0,1.0,0.0,"– In Feb. 2007 a San Antonio (Tex.) family noticed their infant was not breathing and dialed 911. The call was promptly answered at the police department, but the dispatcher then transferred the call to the EMS comm center, where a recording played for 4 minutes.",0,5.0,911_first6sec/call_18_0.wav
11,19,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/longmont_crash_911.mp3,Crash 911 Call – Colo.,1/07,Colorado,0.0,1.0,0.0,"– In Feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. They dialed 911 for help and reached the Loveland Police Department, but there was confusion about their location. They had difficulty trying to describe their location. Read more",0,3.0,911_first6sec/call_19_0.wav
12,20,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/kensington_911call.mp3,Fire rescue 911 call-Md.,2/07,Maryland,0.0,1.0,0.0,"– On February 3, 2007 firefighters rescued 5 children from a house fire at 9819 Connecticut Avenue, in Kensington (Montgomery County, Md.). Two 17 month-old girls (twins) were hospitalized in critical condition. A 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. The twins were found unconscious. The fire started on the first floor and the smoke alarm did activate. The oldest child, age 12 called 911 and was very composed as the Montgomery County Fire and Rescue Service (MCFRS) dispatcher provided instructions.",0,0.0,911_first6sec/call_20_0.wav
13,21,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/carwash_911.mp3,Carwash 911 – Mich.,3/07,Michigan,0.0,0.0,0.0,"– In March 2007 Monica Hudson dialed 911 when she became trapped inside an automated car wash building on 24th St. in Port Huron (Mich.) when the machinery stalled. The dispatcher talked to her for several minutes. Finally another patron came through, pushed some buttons and the doors came open.",0,2.0,911_first6sec/call_21_0.wav
14,27,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/nanny_911.mp3,Wisc. Nanny 911 call,5/07,Wisconsin,0.0,0.0,1.0,"“I need a nanny,” the woman says. “Yeah, this is a nanny 911.”
The woman goes on to request a baby sitter, help with her kids and someone to keep her company.
In disbelief, the dispatcher informs the caller that isn’t what 911 is for.",0,5.0,911_first6sec/call_27_0.wav
15,28,https://web.archive.org/web/20150417085342/http://media.freep.com/audio/2007/0510potcop_freep.mp3,Officer’s MJ call – Mich.,5/07,Michigan,0.0,0.0,1.0,"– off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted",0,12.0,911_first6sec/call_28_0.wav
16,30,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/columbus_911.mp3,Columbus drowning 911,5/07,Ohio,1.0,1.0,0.0,"– The Spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in Columbus (Ohio), but had trouble explaining what had happened and where they were. It took 2 minutes to conference in an interpreter.",1,0.0,911_first6sec/call_30_0.wav
17,31,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/moscow_courthouse_911.mp3,Courthouse shooting,5/07,Idaho,2.0,1.0,0.0,"– In May 2007 a gunman opened fire on the Latah County (Idaho) Courthouse at night, where several dispatchers were working. Residents dialed 911 to report it to the dispatchers who were themselves under fire. A Moscow city police officer was killed by the gunfire and a deputy was wounded. The suspect Paul Bauer killed himself in a nearby church. Read more",1,3.0,911_first6sec/call_31_0.wav
18,32,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/riverphoenix_911.mp3,River Phoenix 911 call,10/93,California,1.0,1.0,0.0,"– In Oct. 1993 actor River Phoenix collapsed outside a Hollywood (Calif.) nightclub, prompting a 911 call for help. He was taken to a hospital where he was pronounced dead, later determined to be a drug overdose.",1,0.0,911_first6sec/call_32_0.wav
19,33,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wheelchair.mp3,Wheelchair ride – Mich.,6/07,Michigan,0.0,1.0,0.0,"– In June 2007 caller in Paw Paw (Mich.) reported that a man in a wheelchair, Ben Carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. Read more",0,9.0,911_first6sec/call_33_0.wav
20,34,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/dc_unifest_acc.mp3,Festival crash – DC,6/07,DC,0.0,1.0,0.0,"– In June 2007 a woman allegedly on drugs drove through a Anacostia district Washington (DC) weekend street festival, injuring dozens of pedestrians. Callers dialed 911 when Tonya Bell drove through a barricade and into the crowded street at up to 70 mph. Police finally stopped her cara by throwing two motorscooters under her car.",0,8.0,911_first6sec/call_34_0.wav
21,35,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/hospital_911.mp3,LA hospital 911 calls,5/07,California,1.0,1.0,0.0,"– caller from a hospital emergency room dials 911 to report a medical problem, later dies",1,13.0,911_first6sec/call_35_0.wav
22,36,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/delavan_shootings.wav,Murder-suicide – Wisc.,6/07,Wisconsin,6.0,1.0,0.0,"– In June 2007 23 year-old Amborsio Analco shot and killed six persons–including his own small children–inside a Delavan (Wisc.) duplex, and then killed himself.",1,2.0,911_first6sec/call_36_0.wav
23,37,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/fairfield_stabbing_911.mp3,Stabbing 911,6/07,Connecticut,1.0,1.0,0.0,"– In June 2007 a neighbor came to Barry James’ house in Fairfield (Conn.) and stabbed him to death, apparently in retaliation. James’ father dialed 911 to report the incident, along with several neighbors. Read more",1,5.0,911_first6sec/call_37_0.wav
24,38,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/ramsey_murder_911.mp3,Murder 911,8/06,New Jersey,1.0,1.0,0.0,"– In August 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, Paul Duncsak, and then the line went dead. Police arrived at Duncsak’s Ramsey (NJ) home to find him dead of a gunshot wound to the head. Read more",1,2.0,911_first6sec/call_38_0.wav
25,42,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/arapahoe_pool_911.mp3,Pool save – Colo.,,Colorado,0.0,1.0,0.0,,0,2.0,911_first6sec/call_42_0.wav
26,43,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tamarac_stabbing_911.mp3,Stabbing attack 911,5/07,Florida,3.0,1.0,0.0,"– In May 2007 a Tamarac (Fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. Before Broward County deputies arrived, the ex-boyfriend, Mario Cruz, threw a barbeque through a patio door, came inside and stabbed Maria Borrero and her then-boyfriend. As a deputy arrived, Cruz approached the deputy with a knife, and was shot and killed.",1,3.0,911_first6sec/call_43_0.wav
27,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,18.0,911_first6sec/call_46_0.wav
28,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,55.0,911_first6sec/call_46_1.wav
29,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,81.0,911_first6sec/call_46_2.wav
30,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,50.0,911_first6sec/call_46_3.wav
31,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,169.0,911_first6sec/call_46_4.wav
32,46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,0.0,0.0,1.0,– A collection of non-emergency calls made to 911.,0,185.0,911_first6sec/call_46_5.wav
33,47,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/murder_911_call.mp3,Murder 911 call,7/07,Florida,1.0,1.0,0.0,"– In July 2007 a Palm Beach Gardens (Fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. Amanda Buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son Jason Shenfeld was arrested for murder.",1,2.0,911_first6sec/call_47_0.wav
34,48,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/madison_shooting_911.mp3,Pellet gun shooting – Wisc.,7/07,Wisconsin,0.0,0.0,1.0,"– In July, 2007 Madison (Wisc.) resident Ronald Brandon called to report an armed man outside his house, but described",0,3.0,911_first6sec/call_48_0.wav
35,49,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/boy_in_closet.mp3,911 from closet – Fla.,7/07,Florida,0.0,1.0,0.0,"– In July 2007 11 year-old Rayshaun Wagner called 911 from a closet at his Jacksonville (Fla.) home to report that someone was breaking into his home. Wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher Sydney McClurkin. The call captures the police arriving. Read more",0,1.0,911_first6sec/call_49_0.wav
36,50,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/williamsoncnty_baby_911.mp3,Baby Delivery 911 – Tex.,7/07,Texas,0.0,1.0,0.0,,0,0.0,911_first6sec/call_50_0.wav
37,52,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/rineyville_murders.mp3,Double murder – Ken.,9/07,Kentucky,2.0,1.0,0.0,"– In Sept. 2007 a 9 year-old in Rineyville (Ken.) dialed 911 to report his mother and former mother-in-law had been shot to death by an intruder. The dispatcher is at first skeptical, but then kicks into gear.",1,1.0,911_first6sec/call_52_0.wav
38,53,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/cincy_child_abduction_911.mp3,Child abduction (Ohio),,Ohio,1.0,1.0,0.0,"– In 2005 a Cincinnati (Ohio) mother dialed 911 to report her child had been abducted by the child’s father. The father allegedly had mental problems, and later killed the child. The dispatcher told the mother to return home and not to follow the father. The mother is now suing CPD.",1,10.0,911_first6sec/call_53_0.wav
39,54,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/duckhunters_minn.wav,Boat rescue #1 – Minn.,,,,,,,0,2.0,911_first6sec/call_54_0.wav
40,56,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/harmony911call.mp3,Missing baby,10/07,North Carolina,1.0,1.0,0.0,"– In October 2007 Mary Creech dialed 911 in Spring Lake (NC) to report that her 11 month-old granddaughter was missing from her crib. Harnett County deputies arrived and searched the house and area, but had no leads. Several days later they discovered the baby’s body in the attic, and arrested the mother, who claimed the child died naturally.",1,3.0,911_first6sec/call_56_0.wav
41,57,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tex_shotgun_911.mp3,Burglary+shotgun – Tex.,11/07,Texas,2.0,1.0,0.0,"– In November 2007 Pasadena (Tex.) resident Joe Horn saw two men enter his next-door neighbor’s house. He dialed 911 and, despite the dispatcher’s advice, armed himself with a shotgun, confronted the two men as they left the houses, and shot and killed both of them. A grand jury later declined to indict Horn on any charges.",1,2.0,911_first6sec/call_57_0.wav
42,58,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/morristown_choking_911.mp3,CPR by phone – Tenn.,11/07,Tennessee,1.0,1.0,0.0,"– On November 24, 2007 a woman in Morristown (Tenn.) dialed 911 to report that a 16 year-old boy, Jordan Kaleb Shelton, wasn’t breathing. A Hamblen County dispatcher gave the caller CPR instructions as EMS units were enroute. The boy’s foster father, Kenneth Taylor, was later arrested and charged with choking the youth.",1,11.0,911_first6sec/call_58_0.wav
43,59,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/westroads1.mp3,#1,12/07,Nebraska,9.0,1.0,0.0,– In Dec. 2007 Robert Hawkins entered the Westroads Mall in Omaha (Neb.) and killed either persons before killing himself. There were many 911 callers reporting the shooting. Listen to the various calls:,1,4.0,911_first6sec/call_59_0.wav
44,60,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/springhill_911_shooting.mp3,Man With Gun,11/07,Florida,0.0,1.0,0.0,"– In November 2007 Debbie Gabelman called 911 from her Spring Hill (Fla.) home to report that her son Kyle Gabelman, 25, had a gun and was outside the house threatening the family. The son tried to get inside the house, at one point breaking in a back window. When Kyle went to the front door with the gun, two Hernando County sheriff’s deputies shot and killed him. Read more",0,2.0,911_first6sec/call_60_0.wav
45,61,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/coloradosprings_shooting_911.mp3,Teen car shooting – Colo.,11/07,Colorado,1.0,1.0,0.0,"- In Nov. 2007 Eighteen-year-old Michael Fisher was trying to help a friend get away from her abusive ex-boyfriend. The gunman chased Fisher down in a car before shooting him and another boy, beating the girl, and then shooting himself.",1,12.0,911_first6sec/call_61_0.wav
46,62,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jacksonville_collapse_911.mp3,Garage collapse – Fla.,12/07,Florida,1.0,1.0,0.0,"– In Dec. 2007 a parking garage collapsed in Jacksonville (Fla.), generating several 911 calls",1,2.0,911_first6sec/call_62_0.wav
47,63,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/donda_west_911.mp3,Post Surgery 911 – Calif.,11/07,California,1.0,1.0,0.0,"– mother of singer Kanye West suffers a post-surgery problem, and friends dial 911 for help",1,4.0,911_first6sec/call_63_0.wav
48,64,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/irving_murders.mp3,Taxi murders – Tex.,1/08,Texas,2.0,1.0,0.0,– In Jan. 2008 an Irving (Tex.) hotel employee called to report finding two dead persons in a taxi.,1,8.0,911_first6sec/call_64_0.wav
49,65,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wisc_dui_caller.mp3,DUI 911 Caller – Wisc.,1/08,Wisconsin,0.0,0.0,0.0,-,0,48.0,911_first6sec/call_65_0.wav
50,66,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/corona_aircrash.mp3,Midair plane crash – Calif.,1/08,California,5.0,1.0,0.0,"– calls made after two small Cessna airplanes collide in mid-air over Corona, S. Calif.",1,6.0,911_first6sec/call_66_0.wav
51,67,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/pick_apart.mp3,Trapped under car – Penn.,1/08,Pennsylvania,0.0,1.0,0.0,– man dials 911 after becoming trapped under a car at an auto parts junkyard,0,14.0,911_first6sec/call_67_0.wav
52,68,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/austin_kidnap_911.mp3,Kidnap 911 – Tex.,1/08,Texas,0.0,1.0,0.0,– mother reports her infant child was just grabbed and taken away; police later determined the kidnappers took the child as leverage for an unpaid loan. There was criticism of the dispatcher’s handling of the call.,0,12.0,911_first6sec/call_68_0.wav
53,69,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tempe_murder_911.mp3,Pre-murder 911 – Calif.,2/08,California,1.0,1.0,0.0,"Police officers and paramedics rushed to the woman's apartment complex at 30 W. Carter Drive, near Mill Avenue and U.S. 60, only to find Hernandez and her son, 14-year-old Jeremy Barragan, uninjured and not in danger. The next day the woman shot the boy.",1,8.0,911_first6sec/call_69_0.wav
54,70,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/fayetteville_911_robbery.mp3,Suspect run over – NC,2/08,North Carolina,1.0,1.0,0.0,,1,2.0,911_first6sec/call_70_0.wav
55,71,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jupiter_accident_911.mp3,Accidental shooting – Fla.,2/08,Florida,1.0,1.0,0.0,A 26-year-old man who allegedly shot and killed an 18-year-old Jupiter Farms woman early Friday told a 911 dispatcher it was an accident,1,22.0,911_first6sec/call_71_0.wav
56,72,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/oldsaybrook_911.mp3,Welfare check 911 – Conn.,2/08,Connecticut,0.0,0.0,1.0,,0,69.0,911_first6sec/call_72_0.wav
57,73,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/bazooka_call.mp3,"Rocket launcher call – Surprise, Ariz.",2/08,Arizona,0.0,0.0,1.0,"– An El Mirage resident dials 911 to report finding a rocket launcher, but the dispatcher tells him to call his local police department on non-emergency line",0,6.0,911_first6sec/call_73_0.wav
58,74,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/bakersfield_kidnap_911.mp3,Kidnap 911 – Calif.,2/08,California,0.0,1.0,0.0,"As Pedro Lopez folded clothes inside his family’s home, his daughter played outside with another girl, according to police. Suddenly, neighbors said, a man who had been parked across the street in a red car grabbed the 4-year-old, forced her into his car and drove off.
At least two frantic neighbors called 911. Lopez and a neighbor drove through the streets, scouring the area in search of his daughter.",0,4.0,911_first6sec/call_74_0.wav
59,75,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/weston_diabetes_911.mp3,Diabetes death 911 – Wisc.,,Wisconsin,1.0,1.0,0.0,,1,2.0,911_first6sec/call_75_0.wav
60,76,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/warrencountyny_shooting_911.mp3,Shooting &amp; pursuit,4/10,New York,1.0,1.0,0.0,"– In April 2010 a man came to a former girlfriend’s house in Warren County (NY), tried to enter and then began shooting at the house. An occupant dialed 911 for help, and then suspect Patrick Penders fled in his car. He was soon spotted by sheriff’s deputies and state police, chased until he crashed, and then fatally shot when he confronted officers. Listen to the",1,3.0,911_first6sec/call_76_0.wav
61,77,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/pennycreek_drowning_911_1.mp3,Drowning,9/10,South Carolina,2.0,1.0,0.0,"– In Sept. 2010 a car went off the road in rural Charleston County (SC) at 5:30 a.m., and two occupants were swept away and drowned. One occupant escaped and ran to a nearby house, where the occupant dialed 911 for help. Also listen to two other 911 calls:",1,17.0,911_first6sec/call_77_0.wav
62,79,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/newhaven_kidnap_911.mp3,Hostage-murder,7/07,Connecticut,3.0,1.0,0.0,"– In July 2007 two suspects invaded the Cheshire (Conn.) home of a family and held them hostage. They forced the wife to withdraw $15,000 from her bank, but when she returned they killed her and two children, while her husband escaped. While in the bank, Jennifer Hawke-Petit alerted the teller, telling her to call 911. The bank manager did call 911 to explain what happened. Also listen to a neighbor’s",1,0.0,911_first6sec/call_79_0.wav
63,80,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/mesa_acidattack_911.mp3,Acid attack,9/10,Arizona,0.0,1.0,0.0,"– In Sept. 2010 a Mesa (Ariz.) woman was splashed with a caustic chemical by a stranger, and the victim’s young daughter dialed 911 for help. Derri Velarde had just arrived home from work and was confronted by another female, who threw the liquid at her.",0,1.0,911_first6sec/call_80_0.wav
64,81,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/johnshopkins_shooting_911.mp3,Hospital shooting,9/10,Maryland,2.0,1.0,0.0,"– In Sept. 2010 a man meeting with a doctor about his ill wife pulled a handgun, shot the doctor and his wife, and then barricaded himself before shooting himself. The doctor survived, but Paul Pardus’ mother did not.",1,4.0,911_first6sec/call_81_0.wav
65,83,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/lakewenatchee_bear_911.mp3,Bear attack,9/10,Washington,0.0,1.0,0.0,"– In Sept. 2010 a man walking his dog at his vacation home in Lake Wenatchee (Wash.) was attacked by a bear. His wife saw the attack and dialed 911. An EMS unit arrived about 15 minutes later to treat the man, who suffered serious, but non-life threatening injuries.",0,9.0,911_first6sec/call_83_0.wav
66,85,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/gainesville_shootings_911.mp3,Shootings,10/10,Florida,2.0,1.0,0.0,"– In Oct. 2010 a Gainesville (Fla.) man drove around his neighborhood and shot five people, then killed his father and himself. Police don’t know why Clifford Miller Jr. wounded the five people who survived. The several-block area of the shooting complicated the dispatching process and response.",1,33.0,911_first6sec/call_85_0.wav
67,86,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/cleveland_fire_911.mp3,Fire rescue,10/10,Ohio,0.0,1.0,0.0,– In Oct. 2010 a Cleveland (Ohio) woman and two children were trapped in their home by a fire. During a 15-minute 911 call the woman pleaded for help. The incident raised questions of sufficient comm center staffing.,0,9.0,911_first6sec/call_86_0.wav
68,87,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/austin_gunman_911_first.mp3,University shooting,10/10,Texas,1.0,1.0,0.0,– In Oct. 2010 a University of Texas (Austin) student arrived on campus with an AK-47 semi-auto rifle and dressed in a mask. He fired several shots but didn’t point the weapon at anyone. When police arrived he fled to the library and killed himself. Also listen to this collection of,1,0.0,911_first6sec/call_87_0.wav
69,88,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/naperville_planecrash_911.mp3,Plane crash,10/10,Illinois,0.0,1.0,0.0,"– In Oct. 2010 a single-engine plane crashed on take-off from the Naperville (Ill.) airport, and various witnesses called 911 to report it.",0,2.0,911_first6sec/call_88_0.wav
70,89,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/hickory_kidnapping_911.mp3,Kidnapping call,10/10,North Carolina,1.0,1.0,0.0,"– In Oct. 2010 the father of a 10 year-old girl dialed 911 in Hickory (NC) to report his daughter had been kidnapped, and that he found a ransom note. Adam Baker said an arson fire set by the kidnappers likely distracted him. However, within days police were skeptical of Baker and his wife’s story.",1,10.0,911_first6sec/call_89_0.wav
71,90,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/shreveport_murder_911.mp3,Murder,8/10,Louisiana,1.0,1.0,0.0,"– In Aug. 2010 a Shreveport man shot and killed his stepson as the victim’s mother was on the line with a 911 dispatcher. Harold Free said he stepson was attacking him and that he shot in self-defense, but he was charged with the second-degree murder of Terry Johniken.",1,6.0,911_first6sec/call_90_0.wav
72,91,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/layton_murders_911.mp3,Child murders,10/10,Utah,2.0,1.0,0.0,"– In Oct. 2010 a Layton (Utah) man dialed 911 after finding his wife behaving erractically, and his two children cold. Kenneth Warhola believed his wife suffered psychiatric problems and killed their 7 and 8 year-old daughters. Police arrived and arrestd Sun Cha Warhola for murder, alleging she strangled the children.",1,8.0,911_first6sec/call_91_0.wav
73,92,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/boone_officershooting_911.mp3,Officer-involved shooting,10/10,Iowa,0.0,1.0,0.0,"– In Oct. 2010 a Boone (Iowa) grocery store meat-cutter began acting erratically, and co-workers dialed 911 when he began waving a knife. An arriving officer unsuccessfully used a Taser, and then fatally shot the man when he refused to put down the knife. A dispatcher told one caller to find the man within the store.",0,11.0,911_first6sec/call_92_0.wav
