id,link,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,description,file_name
11,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/call_for_date.mp3,911 Call for a Date,1/06,Oregon,1,0,0,1,– Lorna Jeanne Dudash in Aloha (Ore.) dialed 911 to ask for the name of a “cute” Washington County sheriff’s deputy she had just encountered. The deputy returned to her house and arrested her.,call_11.mp3
12,https://web.archive.org/web/20150417085342/http://www.fordarlieroutier.org/911Call/index.html,Murder 911 Call,6/96,Texas,1,2,1,0,"– In June 1996 two children were stabbed to death in their home in Rowlett (Tex.), and their mother Darlie Routier was later arrested for their murder. A jury later did not believe that an intruder killed the children and seriously injured Routier, and she was convicted. The case is now on appeal.",call_12.mp3
13,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jonbenet_911.mp3,Jon Benet 911 Call,12/96,Colorado,1,1,1,0,"JonBenét Patricia Ramsey (August 6, 1990 – December 25 or 26, 1996)[1] was an American child beauty queen who was killed at the age of six in her family's home in Boulder, Colorado.",call_13.mp3
14,https://web.archive.org/web/20150417085342/http://www.alpinedisc.com/columbine.htm,Columbine Incident CDs,4/99,Colorado,1,13,1,0,Columbine High School massacre,
15,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/clark_wash_911_call.mp3,Murder 911 call – Wash.,1/07,Washington,1,2,1,0,– In Jan. 2007 a Vancouver (Wash.) man called to confess killing two persons with a knife. Dylon R. Peterson was arrested by arriving police.,call_15.mp3
16,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/clemson_murder_911.mp3,Murder 911 Call – SC,5/06,South Carolina,1,1,1,0,"– In May, 2006 a Clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body.",call_16.mp3
17,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/abingdon_fire_911_1.mp3,Maryland fire 911,1/07,Maryland,1,5,1,0,"– In Jan. 2007 five residents in Abingdon (Md.) died in a house fire, reported by several 911 calls. There was some criticism that the Harford County comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds.",call_17.mp3
18,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/sanantonio_baby_911.mp3,Baby not breathing,2/07,Texas,1,0,1,0,"– In Feb. 2007 a San Antonio (Tex.) family noticed their infant was not breathing and dialed 911. The call was promptly answered at the police department, but the dispatcher then transferred the call to the EMS comm center, where a recording played for 4 minutes.",call_18.mp3
19,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/longmont_crash_911.mp3,Crash 911 Call – Colo.,1/07,Colorado,1,0,1,0,"– In Feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. They dialed 911 for help and reached the Loveland Police Department, but there was confusion about their location. They had difficulty trying to describe their location. Read more",call_19.mp3
20,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/kensington_911call.mp3,Fire rescue 911 call-Md.,2/07,Maryland,1,0,1,0,"– On February 3, 2007 firefighters rescued 5 children from a house fire at 9819 Connecticut Avenue, in Kensington (Montgomery County, Md.). Two 17 month-old girls (twins) were hospitalized in critical condition. A 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. The twins were found unconscious. The fire started on the first floor and the smoke alarm did activate. The oldest child, age 12 called 911 and was very composed as the Montgomery County Fire and Rescue Service (MCFRS) dispatcher provided instructions.",call_20.mp3
21,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/carwash_911.mp3,Carwash 911 – Mich.,3/07,Michigan,1,0,0,0,"– In March 2007 Monica Hudson dialed 911 when she became trapped inside an automated car wash building on 24th St. in Port Huron (Mich.) when the machinery stalled. The dispatcher talked to her for several minutes. Finally another patron came through, pushed some buttons and the doors came open.",call_21.mp3
22,https://web.archive.org/web/20150417085342/http://www.youtube.com/watch?v=EdXR-TohG5o,Adam-12 Opening,,,,,,,,
23,https://web.archive.org/web/20150417085342/http://www.fcc.gov/realaudio/mt042007.ram,FCC 1st Resp Summit,,,,,,,,
24,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/kcpd_shooting_1.mp3,Kansas City Shooting #1,4/07,Missouri,0,3,1,0,"A shooting in Kansas City, Mo., on Sunday afternoon left three people dead, including the gunman.",call_24.mp3
25,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/kcpd_shooting_2.mp3,Kansas City Shooting #2,4/07,Missouri,0,3,1,0,,call_25.mp3
26,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/oakland_maze_911.mp3,Oakland tanker fire 911,4/07,California,1,0,1,0,"– In Jan. 2007 a tanker traveling through an Interstate highway interchange in Oakland (Calif.) overturned, setting a fire that melted an overpass that cut a key highway link in the Bay area. Many people dialed 911 to report the 8,000 gallon gasoline tanker crash and fire. The driver was badly burned, and ended up walking over a mile to a convenience store where a cab driver realized her was injured and drove him to a hospital.",
27,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/nanny_911.mp3,Wisc. Nanny 911 call,5/07,Wisconsin,1,0,0,1,"“I need a nanny,” the woman says. “Yeah, this is a nanny 911.”
The woman goes on to request a baby sitter, help with her kids and someone to keep her company.
In disbelief, the dispatcher informs the caller that isn’t what 911 is for.",call_27.mp3
28,https://web.archive.org/web/20150417085342/http://media.freep.com/audio/2007/0510potcop_freep.mp3,Officer’s MJ call – Mich.,5/07,Michigan,1,0,0,1,"– off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted",call_28.mp3
29,https://web.archive.org/web/20150417085342/http://www.nbc.com/The_Tonight_Show_with_Jay_Leno/video/#mea=102115,Leno’s wacky 911,,,,,,,,
30,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/columbus_911.mp3,Columbus drowning 911,5/07,Ohio,1,1,1,0,"– The Spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in Columbus (Ohio), but had trouble explaining what had happened and where they were. It took 2 minutes to conference in an interpreter.",call_30.mp3
31,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/moscow_courthouse_911.mp3,Courthouse shooting,5/07,Idaho,1,2,1,0,"– In May 2007 a gunman opened fire on the Latah County (Idaho) Courthouse at night, where several dispatchers were working. Residents dialed 911 to report it to the dispatchers who were themselves under fire. A Moscow city police officer was killed by the gunfire and a deputy was wounded. The suspect Paul Bauer killed himself in a nearby church. Read more",call_31.mp3
32,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/riverphoenix_911.mp3,River Phoenix 911 call,10/93,California,1,1,1,0,"– In Oct. 1993 actor River Phoenix collapsed outside a Hollywood (Calif.) nightclub, prompting a 911 call for help. He was taken to a hospital where he was pronounced dead, later determined to be a drug overdose.",call_32.mp3
33,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wheelchair.mp3,Wheelchair ride – Mich.,6/07,Michigan,1,0,1,0,"– In June 2007 caller in Paw Paw (Mich.) reported that a man in a wheelchair, Ben Carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. Read more",call_33.mp3
34,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/dc_unifest_acc.mp3,Festival crash – DC,6/07,DC,1,0,1,0,"– In June 2007 a woman allegedly on drugs drove through a Anacostia district Washington (DC) weekend street festival, injuring dozens of pedestrians. Callers dialed 911 when Tonya Bell drove through a barricade and into the crowded street at up to 70 mph. Police finally stopped her cara by throwing two motorscooters under her car.",call_34.mp3
35,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/hospital_911.mp3,LA hospital 911 calls,5/07,California,1,1,1,0,"– caller from a hospital emergency room dials 911 to report a medical problem, later dies",call_35.mp3
36,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/delavan_shootings.wav,Murder-suicide – Wisc.,6/07,Wisconsin,1,6,1,0,"– In June 2007 23 year-old Amborsio Analco shot and killed six persons–including his own small children–inside a Delavan (Wisc.) duplex, and then killed himself.",call_36.mp3
37,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/fairfield_stabbing_911.mp3,Stabbing 911,6/07,Connecticut,1,1,1,0,"– In June 2007 a neighbor came to Barry James’ house in Fairfield (Conn.) and stabbed him to death, apparently in retaliation. James’ father dialed 911 to report the incident, along with several neighbors. Read more",call_37.mp3
38,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/ramsey_murder_911.mp3,Murder 911,8/06,New Jersey,1,1,1,0,"– In August 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, Paul Duncsak, and then the line went dead. Police arrived at Duncsak’s Ramsey (NJ) home to find him dead of a gunshot wound to the head. Read more",call_38.mp3
39,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/rapist_gives_up.mp3,Rapist Surrenders – Penn.,,Pennsylvania,1,0,0,0,,call_39.mp3
40,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/franconia_officer.mp3,Citizen on Radio – NH,,New Hampshire,1,0,1,0,"– On May 10, 2007 Franconia (NH) Cpl. Bruce McKay pulled over a car for a traffic violation, and then became involved in a shoot-out with the suspect. McKay was mortally wounded, but a citizen picked up a loose gun and killed the suspect, and then used McKay’s car radio to call for help. Read more",call_40.mp3
41,https://web.archive.org/web/20150417085342/http://www.kansas.com/static/slides/052707dispatchers/,Tornado dispatchers – Kan.,,,,,,,,
42,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/arapahoe_pool_911.mp3,Pool save – Colo.,,Colorado,1,0,1,0,,call_42.mp3
43,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tamarac_stabbing_911.mp3,Stabbing attack 911,5/07,Florida,1,3,1,0,"– In May 2007 a Tamarac (Fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. Before Broward County deputies arrived, the ex-boyfriend, Mario Cruz, threw a barbeque through a patio door, came inside and stabbed Maria Borrero and her then-boyfriend. As a deputy arrived, Cruz approached the deputy with a knife, and was shot and killed.",call_43.mp3
44,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/floydcounty_shooting_radio.mp3,Deputy shooting,6/07,Indiana,0,1,1,0,"– In June 2007 two Floyd County (Ind.) deputies were shot by a 15 year-old, later identified as Tyler Dumstorf. One deputy died and the other was seriously wounded when they responded to a domestic violence call at the boy’s home. Tape of the radio transmissions captures one deputy calling for help after being shot by a rifle fired by Dumstorf from inside the house.",call_44.mp3
45,https://web.archive.org/web/20150417085342/http://www.podtech.net/home/3598/onstars-command-center,OnStar Command Center,,,,,,,,
46,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/non_emerg_911s.mp3,Non-emerg 911’s,,,1,0,0,1,– A collection of non-emergency calls made to 911.,call_46.mp3
47,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/murder_911_call.mp3,Murder 911 call,7/07,Florida,1,1,1,0,"– In July 2007 a Palm Beach Gardens (Fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. Amanda Buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son Jason Shenfeld was arrested for murder.",call_47.mp3
48,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/madison_shooting_911.mp3,Pellet gun shooting – Wisc.,7/07,Wisconsin,1,0,0,1,"– In July, 2007 Madison (Wisc.) resident Ronald Brandon called to report an armed man outside his house, but described",call_48.mp3
49,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/boy_in_closet.mp3,911 from closet – Fla.,7/07,Florida,1,0,1,0,"– In July 2007 11 year-old Rayshaun Wagner called 911 from a closet at his Jacksonville (Fla.) home to report that someone was breaking into his home. Wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher Sydney McClurkin. The call captures the police arriving. Read more",call_49.mp3
50,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/williamsoncnty_baby_911.mp3,Baby Delivery 911 – Tex.,7/07,Texas,1,0,1,0,,call_50.mp3
51,https://web.archive.org/web/20150417085342/hhttp://mp3.911dispatch.com.s3.amazonaws.com/minnesota_bridge.mp3,Bridge collapse,8/07,Minnesota,1,13,1,0,"- Calls made after the I-35 highway bridge collapsed on Aug. 1, 2007 in Minneapolis (Minn.).",
52,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/rineyville_murders.mp3,Double murder – Ken.,9/07,Kentucky,1,2,1,0,"– In Sept. 2007 a 9 year-old in Rineyville (Ken.) dialed 911 to report his mother and former mother-in-law had been shot to death by an intruder. The dispatcher is at first skeptical, but then kicks into gear.",call_52.mp3
53,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/cincy_child_abduction_911.mp3,Child abduction (Ohio),,Ohio,1,1,1,0,"– In 2005 a Cincinnati (Ohio) mother dialed 911 to report her child had been abducted by the child’s father. The father allegedly had mental problems, and later killed the child. The dispatcher told the mother to return home and not to follow the father. The mother is now suing CPD.",call_53.mp3
54,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/duckhunters_minn.wav,Boat rescue #1 – Minn.,,,,,,,,call_54.mp3
55,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/duckhunters2_minn.wav,Boat rescue #2 – Minn.,,,,,,,,call_55.mp3
56,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/harmony911call.mp3,Missing baby,10/07,North Carolina,1,1,1,0,"– In October 2007 Mary Creech dialed 911 in Spring Lake (NC) to report that her 11 month-old granddaughter was missing from her crib. Harnett County deputies arrived and searched the house and area, but had no leads. Several days later they discovered the baby’s body in the attic, and arrested the mother, who claimed the child died naturally.",call_56.mp3
57,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tex_shotgun_911.mp3,Burglary+shotgun – Tex.,11/07,Texas,1,2,1,0,"– In November 2007 Pasadena (Tex.) resident Joe Horn saw two men enter his next-door neighbor’s house. He dialed 911 and, despite the dispatcher’s advice, armed himself with a shotgun, confronted the two men as they left the houses, and shot and killed both of them. A grand jury later declined to indict Horn on any charges.",call_57.mp3
58,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/morristown_choking_911.mp3,CPR by phone – Tenn.,11/07,Tennessee,1,1,1,0,"– On November 24, 2007 a woman in Morristown (Tenn.) dialed 911 to report that a 16 year-old boy, Jordan Kaleb Shelton, wasn’t breathing. A Hamblen County dispatcher gave the caller CPR instructions as EMS units were enroute. The boy’s foster father, Kenneth Taylor, was later arrested and charged with choking the youth.",call_58.mp3
59,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/westroads1.mp3,#1,12/07,Nebraska,1,9,1,0,– In Dec. 2007 Robert Hawkins entered the Westroads Mall in Omaha (Neb.) and killed either persons before killing himself. There were many 911 callers reporting the shooting. Listen to the various calls:,call_59.mp3
60,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/springhill_911_shooting.mp3,Man With Gun,11/07,Florida,1,0,1,0,"– In November 2007 Debbie Gabelman called 911 from her Spring Hill (Fla.) home to report that her son Kyle Gabelman, 25, had a gun and was outside the house threatening the family. The son tried to get inside the house, at one point breaking in a back window. When Kyle went to the front door with the gun, two Hernando County sheriff’s deputies shot and killed him. Read more",call_60.mp3
61,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/coloradosprings_shooting_911.mp3,Teen car shooting – Colo.,11/07,Colorado,1,1,1,0,"- In Nov. 2007 Eighteen-year-old Michael Fisher was trying to help a friend get away from her abusive ex-boyfriend. The gunman chased Fisher down in a car before shooting him and another boy, beating the girl, and then shooting himself.",call_61.mp3
62,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jacksonville_collapse_911.mp3,Garage collapse – Fla.,12/07,Florida,1,1,1,0,"– In Dec. 2007 a parking garage collapsed in Jacksonville (Fla.), generating several 911 calls",call_62.mp3
63,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/donda_west_911.mp3,Post Surgery 911 – Calif.,11/07,California,1,1,1,0,"– mother of singer Kanye West suffers a post-surgery problem, and friends dial 911 for help",call_63.mp3
64,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/irving_murders.mp3,Taxi murders – Tex.,1/08,Texas,1,2,1,0,– In Jan. 2008 an Irving (Tex.) hotel employee called to report finding two dead persons in a taxi.,call_64.mp3
65,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wisc_dui_caller.mp3,DUI 911 Caller – Wisc.,1/08,Wisconsin,1,0,0,0,-,call_65.mp3
66,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/corona_aircrash.mp3,Midair plane crash – Calif.,1/08,California,1,5,1,0,"– calls made after two small Cessna airplanes collide in mid-air over Corona, S. Calif.",call_66.mp3
67,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/pick_apart.mp3,Trapped under car – Penn.,1/08,Pennsylvania,1,0,1,0,– man dials 911 after becoming trapped under a car at an auto parts junkyard,call_67.mp3
68,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/austin_kidnap_911.mp3,Kidnap 911 – Tex.,1/08,Texas,1,0,1,0,– mother reports her infant child was just grabbed and taken away; police later determined the kidnappers took the child as leverage for an unpaid loan. There was criticism of the dispatcher’s handling of the call.,call_68.mp3
69,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/tempe_murder_911.mp3,Pre-murder 911 – Calif.,2/08,California,1,1,1,0,"Police officers and paramedics rushed to the woman's apartment complex at 30 W. Carter Drive, near Mill Avenue and U.S. 60, only to find Hernandez and her son, 14-year-old Jeremy Barragan, uninjured and not in danger. The next day the woman shot the boy.",call_69.mp3
70,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/fayetteville_911_robbery.mp3,Suspect run over – NC,2/08,North Carolina,1,1,1,0,,call_70.mp3
71,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jupiter_accident_911.mp3,Accidental shooting – Fla.,2/08,Florida,1,1,1,0,A 26-year-old man who allegedly shot and killed an 18-year-old Jupiter Farms woman early Friday told a 911 dispatcher it was an accident,call_71.mp3
72,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/oldsaybrook_911.mp3,Welfare check 911 – Conn.,2/08,Connecticut,1,0,0,1,,call_72.mp3
73,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/bazooka_call.mp3,"Rocket launcher call – Surprise, Ariz.",2/08,Arizona,1,0,0,1,"– An El Mirage resident dials 911 to report finding a rocket launcher, but the dispatcher tells him to call his local police department on non-emergency line",call_73.mp3
74,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/bakersfield_kidnap_911.mp3,Kidnap 911 – Calif.,2/08,California,1,0,1,0,"As Pedro Lopez folded clothes inside his family’s home, his daughter played outside with another girl, according to police. Suddenly, neighbors said, a man who had been parked across the street in a red car grabbed the 4-year-old, forced her into his car and drove off.
At least two frantic neighbors called 911. Lopez and a neighbor drove through the streets, scouring the area in search of his daughter.",call_74.mp3
75,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/weston_diabetes_911.mp3,Diabetes death 911 – Wisc.,,Wisconsin,1,1,1,0,,call_75.mp3
76,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/warrencountyny_shooting_911.mp3,Shooting &amp; pursuit,4/10,New York,1,1,1,0,"– In April 2010 a man came to a former girlfriend’s house in Warren County (NY), tried to enter and then began shooting at the house. An occupant dialed 911 for help, and then suspect Patrick Penders fled in his car. He was soon spotted by sheriff’s deputies and state police, chased until he crashed, and then fatally shot when he confronted officers. Listen to the",call_76.mp3
77,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/pennycreek_drowning_911_1.mp3,Drowning,9/10,South Carolina,1,2,1,0,"– In Sept. 2010 a car went off the road in rural Charleston County (SC) at 5:30 a.m., and two occupants were swept away and drowned. One occupant escaped and ran to a nearby house, where the occupant dialed 911 for help. Also listen to two other 911 calls:",call_77.mp3
78,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/sanbruno_gasmain_radio.mp3,Gas main rupture,9/10,California,1,7,1,0,"– In Sept. 2010 a 24-inch, high-pressure gas transmission line failed under a San Bruno (N. Calif.) neighborhood, incinerating 38 houses and killing at least 7 people. Because of the violent rupture of the pipeline, the tremendously loud noise of escaping gas and the resulting fire, callers initially believed the event was a plane crash. The fireball was visible for miles, including by fire units on the road for other reasons. (This 1-hour audio is from a local scannerist, and includes various channels besides San Bruno and surrounding San Mateo County.)",call_78.mp3
79,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/newhaven_kidnap_911.mp3,Hostage-murder,7/07,Connecticut,1,3,1,0,"– In July 2007 two suspects invaded the Cheshire (Conn.) home of a family and held them hostage. They forced the wife to withdraw $15,000 from her bank, but when she returned they killed her and two children, while her husband escaped. While in the bank, Jennifer Hawke-Petit alerted the teller, telling her to call 911. The bank manager did call 911 to explain what happened. Also listen to a neighbor’s",call_79.mp3
80,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/mesa_acidattack_911.mp3,Acid attack,9/10,Arizona,1,0,1,0,"– In Sept. 2010 a Mesa (Ariz.) woman was splashed with a caustic chemical by a stranger, and the victim’s young daughter dialed 911 for help. Derri Velarde had just arrived home from work and was confronted by another female, who threw the liquid at her.",call_80.mp3
81,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/johnshopkins_shooting_911.mp3,Hospital shooting,9/10,Maryland,1,2,1,0,"– In Sept. 2010 a man meeting with a doctor about his ill wife pulled a handgun, shot the doctor and his wife, and then barricaded himself before shooting himself. The doctor survived, but Paul Pardus’ mother did not.",call_81.mp3
82,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/lincolnheights_shooting_radio.mp3,Shooting at officer,9/10,Ohio,0,0,1,0,"– In Sept. 2010 a Woodlawn (Ohio) officer saw three men at an intersection in adjacent Lincoln Heights with rifles, and they began shooting at him. Off. Timothy Barrett drove to safety and radioed for help.",call_82.mp3
83,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/lakewenatchee_bear_911.mp3,Bear attack,9/10,Washington,1,0,1,0,"– In Sept. 2010 a man walking his dog at his vacation home in Lake Wenatchee (Wash.) was attacked by a bear. His wife saw the attack and dialed 911. An EMS unit arrived about 15 minutes later to treat the man, who suffered serious, but non-life threatening injuries.",call_83.mp3
84,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/seattle_murder-suicide_radio.mp3,Murder-suicide,9/10,Washington,0,4,1,0,"– In Sept. 2010 a woman in Seattle (Wash.) killed a man, two children and herself with a gun. Responding Seattle police were careful about their arrival as dispatchers provided on-going updates from witnesses.",call_84.mp3
85,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/gainesville_shootings_911.mp3,Shootings,10/10,Florida,1,2,1,0,"– In Oct. 2010 a Gainesville (Fla.) man drove around his neighborhood and shot five people, then killed his father and himself. Police don’t know why Clifford Miller Jr. wounded the five people who survived. The several-block area of the shooting complicated the dispatching process and response.",call_85.mp3
86,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/cleveland_fire_911.mp3,Fire rescue,10/10,Ohio,1,0,1,0,– In Oct. 2010 a Cleveland (Ohio) woman and two children were trapped in their home by a fire. During a 15-minute 911 call the woman pleaded for help. The incident raised questions of sufficient comm center staffing.,call_86.mp3
87,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/austin_gunman_911_first.mp3,University shooting,10/10,Texas,1,1,1,0,– In Oct. 2010 a University of Texas (Austin) student arrived on campus with an AK-47 semi-auto rifle and dressed in a mask. He fired several shots but didn’t point the weapon at anyone. When police arrived he fled to the library and killed himself. Also listen to this collection of,call_87.mp3
88,https://web.archive.org/web/20150417085341/http://mp3.911dispatch.com.s3.amazonaws.com/naperville_planecrash_911.mp3,Plane crash,10/10,Illinois,1,0,1,0,"– In Oct. 2010 a single-engine plane crashed on take-off from the Naperville (Ill.) airport, and various witnesses called 911 to report it.",call_88.mp3
